x,y,event
48.0,61.0,Blocked Shot
168.0,20.0,Faceoff
119.0,64.0,Faceoff
177.0,44.0,Shot
168.0,52.0,Goal
99.0,42.0,Faceoff
152.0,43.0,Missed Shot
130.0,74.0,Goal
99.0,42.0,Faceoff
123.0,52.0,Goal
99.0,42.0,Faceoff
119.0,20.0,Faceoff
24.0,19.0,Missed Shot
99.0,42.0,Faceoff
193.0,19.0,Hit
168.0,64.0,Faceoff
144.0,44.0,Shot
155.0,71.0,Shot
136.0,14.0,Shot
99.0,42.0,Faceoff
129.0,78.0,Shot
174.0,46.0,Blocked Shot
172.0,29.0,Missed Shot
190.0,69.0,Penalty
168.0,20.0,Faceoff
195.0,47.0,Hit
191.0,53.0,Giveaway
153.0,15.0,Shot
180.0,45.0,Blocked Shot
173.0,41.0,Blocked Shot
134.0,48.0,Takeaway
166.0,23.0,Shot
102.0,5.0,Hit
34.0,22.0,Goal
99.0,42.0,Faceoff
30.0,64.0,Faceoff
22.0,47.0,Blocked Shot
11.0,53.0,Shot
8.0,74.0,Hit
30.0,20.0,Faceoff
5.0,53.0,Giveaway
0.0,44.0,Hit
35.0,21.0,Takeaway
142.0,76.0,Shot
168.0,64.0,Faceoff
149.0,11.0,Shot
128.0,6.0,Missed Shot
186.0,69.0,Hit
191.0,72.0,Hit
157.0,55.0,Shot
164.0,51.0,Blocked Shot
192.0,71.0,Hit
150.0,20.0,Shot
38.0,56.0,Blocked Shot
20.0,12.0,Giveaway
11.0,46.0,Goal
99.0,42.0,Faceoff
183.0,7.0,Hit
129.0,4.0,Missed Shot
184.0,78.0,Shot
168.0,64.0,Faceoff
70.0,4.0,Missed Shot
30.0,20.0,Faceoff
160.0,21.0,Takeaway
168.0,20.0,Faceoff
30.0,64.0,Faceoff
65.0,28.0,Takeaway
1.0,32.0,Hit
78.0,81.0,Hit
196.0,33.0,Hit
190.0,12.0,Hit
169.0,26.0,Blocked Shot
170.0,7.0,Giveaway
173.0,28.0,Blocked Shot
168.0,20.0,Faceoff
2.0,27.0,Hit
119.0,20.0,Faceoff
79.0,64.0,Faceoff
156.0,4.0,Hit
161.0,2.0,Hit
77.0,3.0,Hit
99.0,42.0,Faceoff
90.0,2.0,Hit
193.0,70.0,Hit
159.0,2.0,Hit
176.0,26.0,Missed Shot
180.0,61.0,Shot
165.0,22.0,Blocked Shot
46.0,42.0,Missed Shot
19.0,63.0,Penalty
30.0,20.0,Faceoff
33.0,42.0,Missed Shot
20.0,43.0,Giveaway
82.0,4.0,Hit
61.0,2.0,Hit
16.0,38.0,Shot
30.0,20.0,Faceoff
30.0,46.0,Blocked Shot
34.0,55.0,Missed Shot
80.0,3.0,Hit
61.0,3.0,Hit
99.0,42.0,Faceoff
31.0,24.0,Missed Shot
79.0,20.0,Faceoff
11.0,60.0,Shot
35.0,33.0,Giveaway
34.0,19.0,Shot
30.0,20.0,Faceoff
83.0,3.0,Hit
176.0,55.0,Blocked Shot
135.0,29.0,Missed Shot
188.0,37.0,Missed Shot
100.0,82.0,Hit
99.0,42.0,Faceoff
30.0,64.0,Faceoff
57.0,72.0,Blocked Shot
150.0,57.0,Missed Shot
163.0,7.0,Shot
131.0,10.0,Shot
148.0,52.0,Blocked Shot
164.0,6.0,Penalty
168.0,64.0,Faceoff
131.0,78.0,Takeaway
174.0,65.0,Shot
141.0,3.0,Giveaway
161.0,67.0,Shot
168.0,64.0,Faceoff
169.0,45.0,Shot
90.0,84.0,Penalty
168.0,20.0,Faceoff
162.0,28.0,Missed Shot
136.0,18.0,Shot
168.0,20.0,Faceoff
154.0,41.0,Missed Shot
148.0,81.0,Giveaway
187.0,76.0,Hit
189.0,73.0,Hit
192.0,72.0,Hit
180.0,43.0,Missed Shot
167.0,44.0,Shot
178.0,43.0,Shot
184.0,40.0,Blocked Shot
180.0,38.0,Shot
158.0,81.0,Hit
38.0,77.0,Shot
30.0,64.0,Faceoff
151.0,59.0,Missed Shot
195.0,31.0,Hit
155.0,77.0,Takeaway
182.0,41.0,Goal
99.0,42.0,Faceoff
148.0,63.0,Shot
168.0,64.0,Faceoff
34.0,71.0,Missed Shot
74.0,42.0,Giveaway
42.0,33.0,Shot
30.0,20.0,Faceoff
37.0,70.0,Blocked Shot
26.0,41.0,Missed Shot
29.0,83.0,Hit
8.0,13.0,Penalty
30.0,20.0,Faceoff
36.0,66.0,Shot
28.0,50.0,Shot
52.0,3.0,Giveaway
30.0,21.0,Shot
18.0,43.0,Goal
99.0,42.0,Faceoff
79.0,64.0,Faceoff
21.0,42.0,Missed Shot
168.0,65.0,Shot
46.0,45.0,Shot
29.0,2.0,Hit
149.0,82.0,Hit
12.0,51.0,Goal
99.0,42.0,Faceoff
34.0,18.0,Shot
161.0,29.0,Blocked Shot
135.0,44.0,Shot
186.0,74.0,Shot
156.0,40.0,Blocked Shot
134.0,12.0,Shot
36.0,45.0,Shot
55.0,42.0,Missed Shot
132.0,4.0,Hit
37.0,79.0,Shot
150.0,43.0,Missed Shot
41.0,41.0,Takeaway
67.0,8.0,Shot
30.0,20.0,Faceoff
15.0,36.0,Missed Shot
13.0,38.0,Shot
142.0,82.0,Hit
56.0,3.0,Hit
194.0,61.0,Hit
151.0,83.0,Hit
134.0,25.0,Shot
177.0,44.0,Missed Shot
26.0,42.0,Shot
45.0,20.0,Shot
30.0,20.0,Faceoff
99.0,42.0,Faceoff
79.0,20.0,Faceoff
4.0,63.0,Hit
33.0,83.0,Takeaway
193.0,16.0,Hit
190.0,9.0,Hit
133.0,52.0,Shot
168.0,20.0,Faceoff
184.0,38.0,Blocked Shot
196.0,33.0,Hit
179.0,41.0,Shot
176.0,4.0,Hit
10.0,8.0,Hit
193.0,68.0,Hit
32.0,33.0,Missed Shot
66.0,69.0,Missed Shot
59.0,3.0,Hit
42.0,18.0,Blocked Shot
37.0,76.0,Shot
30.0,64.0,Faceoff
45.0,81.0,Takeaway
172.0,39.0,Takeaway
69.0,11.0,Takeaway
30.0,49.0,Blocked Shot
30.0,64.0,Faceoff
31.0,82.0,Takeaway
13.0,38.0,Shot
30.0,20.0,Faceoff
9.0,12.0,Hit
173.0,80.0,Shot
142.0,64.0,Shot
24.0,47.0,Takeaway
153.0,22.0,Shot
168.0,20.0,Faceoff
192.0,12.0,Hit
164.0,19.0,Goal
99.0,42.0,Faceoff
99.0,42.0,Faceoff
113.0,80.0,Giveaway
95.0,59.0,Takeaway
19.0,36.0,Goal
99.0,42.0,Faceoff
25.0,2.0,Hit
68.0,21.0,Missed Shot
2.0,43.0,Takeaway
125.0,3.0,Hit
197.0,42.0,Hit
8.0,12.0,Penalty
9.0,13.0,Penalty
