x,y,group
153,83,A
196,49,A
39,24,A
163,26,A
168,20,A
164,1,A
172,11,A
146,26,A
130,79,A
144,62,A
130,62,A
177,43,A
168,20,A
88,1,A
30,37,A
1,32,A
30,26,A
1,51,A
23,36,A
156,57,A
133,24,A
4,17,A
5,30,A
30,64,A
38,72,A
30,64,A
60,82,A
32,28,A
42,39,A
25,55,A
28,51,A
79,64,A
96,5,A
192,59,A
167,49,A
168,64,A
79,81,A
183,48,A
99,42,A
35,43,A
112,3,A
168,64,A
45,82,A
61,75,A
17,46,A
13,62,A
30,64,A
31,44,A
35,19,A
67,78,A
23,53,A
99,42,A
30,70,A
167,55,A
168,64,A
150,60,A
194,28,A
192,36,A
59,17,A
30,20,A
68,23,A
11,8,A
82,42,A
20,44,A
47,82,A
38,21,A
90,84,A
75,79,A
79,64,A
77,70,A
79,64,A
73,2,A
6,19,A
29,47,A
139,53,A
195,62,A
30,5,A
20,5,A
29,58,A
21,38,A
32,35,A
79,20,A
43,81,A
23,5,A
187,57,A
1,49,A
1,43,A
168,64,A
168,64,A
160,48,A
4,65,A
23,5,A
30,20,A
29,51,A
19,33,A
64,46,A
30,64,A
99,42,A
5,35,A
63,7,A
152,27,A
166,80,A
168,42,A
183,57,A
30,20,A
30,20,A
173,40,A
192,13,A
119,64,A
168,64,A
174,37,A
168,20,A
154,7,A
163,81,A
155,82,A
2,31,A
3,41,A
168,64,A
147,81,A
131,80,A
168,64,A
187,78,A
180,28,A
180,42,A
168,20,A
168,64,A
191,65,A
30,64,A
110,80,A
68,63,A
69,67,A
26,38,A
50,37,A
28,61,A
30,64,A
15,6,A
172,43,A
177,81,A
25,31,A
30,20,A
155,43,A
177,47,A
63,70,A
173,41,A
3,48,A
25,46,A
9,72,A
166,24,A
182,67,A
138,20,A
171,44,A
79,20,A
11,50,A
27,82,A
168,20,A
172,57,A
168,64,A
22,67,A
69,75,A
25,55,A
27,49,A
12,8,A
58,76,A
176,37,A
180,42,A
190,29,A
170,43,A
132,64,A
34,37,A
66,25,A
89,15,A
22,49,A
71,11,A
