x,y,group
77.0,3.0,A
99.0,42.0,A
90.0,2.0,A
193.0,70.0,A
159.0,2.0,A
176.0,26.0,A
180.0,61.0,A
165.0,22.0,A
46.0,42.0,A
19.0,63.0,A
30.0,20.0,A
33.0,42.0,A
20.0,43.0,A
82.0,4.0,A
61.0,2.0,A
16.0,38.0,A
30.0,20.0,A
30.0,46.0,A
34.0,55.0,A
80.0,3.0,A
61.0,3.0,A
99.0,42.0,A
31.0,24.0,A
79.0,20.0,A
11.0,60.0,A
35.0,33.0,A
34.0,19.0,A
30.0,20.0,A
83.0,3.0,A
176.0,55.0,A
135.0,29.0,A
188.0,37.0,A
100.0,82.0,A
99.0,42.0,A
30.0,64.0,A
57.0,72.0,A
150.0,57.0,A
163.0,7.0,A
131.0,10.0,A
148.0,52.0,A
164.0,6.0,A
168.0,64.0,A
131.0,78.0,A
174.0,65.0,A
141.0,3.0,A
161.0,67.0,A
168.0,64.0,A
169.0,45.0,A
90.0,84.0,A
168.0,20.0,A
162.0,28.0,A
136.0,18.0,A
168.0,20.0,A
154.0,41.0,A
148.0,81.0,A
187.0,76.0,A
189.0,73.0,A
192.0,72.0,A
180.0,43.0,A
167.0,44.0,A
178.0,43.0,A
184.0,40.0,A
180.0,38.0,A
158.0,81.0,A
38.0,77.0,A
30.0,64.0,A
151.0,59.0,A
195.0,31.0,A
155.0,77.0,A
182.0,41.0,A
99.0,42.0,A
148.0,63.0,A
168.0,64.0,A
34.0,71.0,A
74.0,42.0,A
42.0,33.0,A
30.0,20.0,A
37.0,70.0,A
26.0,41.0,A
29.0,83.0,A
8.0,13.0,A
30.0,20.0,A
36.0,66.0,A
28.0,50.0,A
52.0,3.0,A
30.0,21.0,A
18.0,43.0,A
99.0,42.0,A
79.0,64.0,A
21.0,42.0,A
168.0,65.0,A
46.0,45.0,A
29.0,2.0,A
149.0,82.0,A
12.0,51.0,A
99.0,42.0,A
34.0,18.0,A
161.0,29.0,A
135.0,44.0,A
186.0,74.0,A
156.0,40.0,A
134.0,12.0,A
36.0,45.0,A
55.0,42.0,A
132.0,4.0,A
37.0,79.0,A
150.0,43.0,A
41.0,41.0,A
67.0,8.0,A
30.0,20.0,A
15.0,36.0,A
13.0,38.0,A
142.0,82.0,A
56.0,3.0,A
194.0,61.0,A
151.0,83.0,A
134.0,25.0,A
177.0,44.0,A
26.0,42.0,A
45.0,20.0,A
30.0,20.0,A
99.0,42.0,A
79.0,20.0,A
4.0,63.0,A
33.0,83.0,A
193.0,16.0,A
190.0,9.0,A
133.0,52.0,A
168.0,20.0,A
184.0,38.0,A
196.0,33.0,A
179.0,41.0,A
176.0,4.0,A
10.0,8.0,A
193.0,68.0,A
32.0,33.0,A
66.0,69.0,A
59.0,3.0,A
42.0,18.0,A
37.0,76.0,A
30.0,64.0,A
45.0,81.0,A
172.0,39.0,A
69.0,11.0,A
30.0,49.0,A
30.0,64.0,A
31.0,82.0,A
13.0,38.0,A
30.0,20.0,A
9.0,12.0,A
173.0,80.0,A
142.0,64.0,A
24.0,47.0,A
153.0,22.0,A
168.0,20.0,A
192.0,12.0,A
164.0,19.0,A
99.0,42.0,A
99.0,42.0,A
113.0,80.0,A
95.0,59.0,A
19.0,36.0,A
99.0,42.0,A
25.0,2.0,A
68.0,21.0,A
2.0,43.0,A
125.0,3.0,A
197.0,42.0,A
8.0,12.0,A
9.0,13.0,A
30.0,64.0,A
179.0,39.0,A
38.0,25.0,A
168.0,64.0,A
161.0,35.0,A
196.0,36.0,A
162.0,56.0,A
84.0,4.0,A
58.0,54.0,A
175.0,41.0,A
119.0,83.0,A
22.0,23.0,A
67.0,5.0,A
119.0,64.0,A
26.0,41.0,A
190.0,76.0,A
131.0,11.0,A
197.0,47.0,A
172.0,28.0,A
154.0,83.0,A
148.0,42.0,A
193.0,52.0,A
158.0,19.0,A
29.0,42.0,A
18.0,39.0,A
36.0,26.0,A
27.0,55.0,A
41.0,41.0,A
30.0,20.0,A
5.0,19.0,A
77.0,70.0,A
153.0,54.0,A
148.0,68.0,A
178.0,37.0,A
155.0,40.0,A
99.0,42.0,A
4.0,26.0,A
170.0,55.0,A
165.0,47.0,A
177.0,20.0,A
168.0,20.0,A
79.0,20.0,A
174.0,18.0,A
153.0,83.0,A
196.0,49.0,A
39.0,24.0,A
163.0,26.0,A
168.0,20.0,A
164.0,1.0,A
172.0,11.0,A
146.0,26.0,A
130.0,79.0,A
144.0,62.0,A
130.0,62.0,A
177.0,43.0,A
168.0,20.0,A
88.0,1.0,A
30.0,37.0,A
1.0,32.0,A
30.0,26.0,A
1.0,51.0,A
23.0,36.0,A
156.0,57.0,A
133.0,24.0,A
4.0,17.0,A
5.0,30.0,A
30.0,64.0,A
38.0,72.0,A
30.0,64.0,A
60.0,82.0,A
32.0,28.0,A
42.0,39.0,A
25.0,55.0,A
28.0,51.0,A
79.0,64.0,A
96.0,5.0,A
192.0,59.0,A
167.0,49.0,A
168.0,64.0,A
79.0,81.0,A
183.0,48.0,A
99.0,42.0,A
35.0,43.0,A
112.0,3.0,A
168.0,64.0,A
45.0,82.0,A
61.0,75.0,A
17.0,46.0,A
13.0,62.0,A
30.0,64.0,A
31.0,44.0,A
35.0,19.0,A
67.0,78.0,A
23.0,53.0,A
99.0,42.0,A
30.0,70.0,A
167.0,55.0,A
168.0,64.0,A
150.0,60.0,A
194.0,28.0,A
192.0,36.0,A
59.0,17.0,A
30.0,20.0,A
68.0,23.0,A
11.0,8.0,A
82.0,42.0,A
20.0,44.0,A
47.0,82.0,A
38.0,21.0,A
90.0,84.0,A
75.0,79.0,A
79.0,64.0,A
77.0,70.0,A
79.0,64.0,A
73.0,2.0,A
6.0,19.0,A
29.0,47.0,A
139.0,53.0,A
195.0,62.0,A
30.0,5.0,A
20.0,5.0,A
29.0,58.0,A
21.0,38.0,A
32.0,35.0,A
79.0,20.0,A
43.0,81.0,A
23.0,5.0,A
187.0,57.0,A
1.0,49.0,A
1.0,43.0,A
168.0,64.0,A
168.0,64.0,A
160.0,48.0,A
4.0,65.0,A
23.0,5.0,A
30.0,20.0,A
29.0,51.0,A
19.0,33.0,A
64.0,46.0,A
30.0,64.0,A
99.0,42.0,A
5.0,35.0,A
63.0,7.0,A
152.0,27.0,A
166.0,80.0,A
168.0,42.0,A
183.0,57.0,A
30.0,20.0,A
30.0,20.0,A
173.0,40.0,A
192.0,13.0,A
119.0,64.0,A
168.0,64.0,A
174.0,37.0,A
168.0,20.0,A
154.0,7.0,A
163.0,81.0,A
155.0,82.0,A
2.0,31.0,A
3.0,41.0,A
168.0,64.0,A
147.0,81.0,A
131.0,80.0,A
168.0,64.0,A
187.0,78.0,A
180.0,28.0,A
180.0,42.0,A
168.0,20.0,A
168.0,64.0,A
191.0,65.0,A
30.0,64.0,A
110.0,80.0,A
68.0,63.0,A
69.0,67.0,A
26.0,38.0,A
50.0,37.0,A
28.0,61.0,A
30.0,64.0,A
15.0,6.0,A
172.0,43.0,A
177.0,81.0,A
25.0,31.0,A
30.0,20.0,A
155.0,43.0,A
177.0,47.0,A
63.0,70.0,A
173.0,41.0,A
3.0,48.0,A
25.0,46.0,A
9.0,72.0,A
166.0,24.0,A
182.0,67.0,A
138.0,20.0,A
171.0,44.0,A
79.0,20.0,A
11.0,50.0,A
27.0,82.0,A
168.0,20.0,A
172.0,57.0,A
